,City ID,City,Country,Update Date,Temperature,Cloudiness %,Humidity,Latitude,Longitude,Max Temp,Wind Speed
0,2075265,Busselton,AU,2020-01-26 04:57:39,93.11,99,18,-33.65,115.33,93.99,17.54
1,2189343,Kaeo,NZ,2020-01-26 04:57:39,78.57,4,67,-35.1,173.78,82.99,1.01
2,2077963,Albany,AU,2020-01-26 04:57:39,78.8,5,50,-35.02,117.89,78.8,5.82
3,2126710,Beringovskiy,RU,2020-01-26 04:57:39,15.48,100,85,63.05,179.32,15.48,8.14
4,1006984,East London,ZA,2020-01-26 04:57:39,69.8,20,83,-33.02,27.91,69.8,13.87
5,5848280,Kapaa,US,2020-01-26 04:57:39,74.26,75,69,22.08,-159.32,77.0,3.36
6,3899695,Ancud,CL,2020-01-26 04:57:39,55.4,50,100,-41.87,-73.82,55.4,3.36
7,2074865,Carnarvon,AU,2020-01-26 04:57:39,86.0,6,62,-24.87,113.63,86.0,19.46
8,3833367,Ushuaia,AR,2020-01-26 04:57:39,35.38,72,96,-54.8,-68.3,35.38,5.95
9,1496073,Orlik,RU,2020-01-26 04:57:39,14.85,100,63,52.52,99.83,14.85,3.65
10,3833367,Ushuaia,AR,2020-01-26 04:57:39,35.38,72,96,-54.8,-68.3,35.38,5.95
11,6170031,Tuktoyaktuk,CA,2020-01-26 04:57:39,-14.8,90,75,69.45,-133.04,-14.8,20.8
12,934479,Grand Gaube,MU,2020-01-26 04:57:39,80.67,40,78,-20.01,57.66,82.0,13.87
13,1803886,Lianran,CN,2020-01-26 04:57:39,41.0,75,45,24.92,102.48,41.0,4.47
14,2015306,Tiksi,RU,2020-01-26 04:57:39,-29.25,0,67,71.69,128.87,-29.25,4.21
15,2074865,Carnarvon,AU,2020-01-26 04:57:39,86.0,6,62,-24.87,113.63,86.0,19.46
16,4030556,Rikitea,PF,2020-01-26 04:57:39,78.73,24,78,-23.12,-134.97,78.73,11.1
17,1053384,Toamasina,MG,2020-01-26 04:57:39,75.2,75,88,-18.17,49.38,75.2,10.29
18,1488780,Tyukalinsk,RU,2020-01-26 04:57:39,15.6,99,89,55.87,72.2,15.6,17.0
19,5855927,Hilo,US,2020-01-26 04:57:39,67.75,90,65,19.73,-155.09,77.0,3.36
20,5282297,Bethel,US,2020-01-26 04:57:39,39.69,90,100,41.37,-73.41,44.01,4.7
21,3374210,Sao Filipe,CV,2020-01-26 04:57:39,74.46,13,63,14.9,-24.5,74.46,17.58
22,3874787,Punta Arenas,CL,2020-01-26 04:57:39,48.09,20,70,-53.15,-70.92,48.2,12.75
23,2077963,Albany,AU,2020-01-26 04:57:39,78.8,5,50,-35.02,117.89,78.8,5.82
24,1259385,Port Blair,IN,2020-01-26 04:57:39,78.39,67,67,11.67,92.75,78.39,12.8
25,3883457,Lebu,CL,2020-01-26 04:57:39,59.67,1,92,-37.62,-73.65,59.67,6.4
26,3421719,Narsaq,GL,2020-01-26 04:57:39,14.0,58,61,60.92,-46.05,14.0,5.82
27,3995154,Nadadores,MX,2020-01-26 04:57:39,65.14,100,49,27.05,-101.6,65.14,7.45
28,5848280,Kapaa,US,2020-01-26 04:57:39,74.26,75,69,22.08,-159.32,77.0,3.36
29,5282297,Bethel,US,2020-01-26 04:57:39,39.69,90,100,41.37,-73.41,44.01,4.7
30,4034551,Faanui,PF,2020-01-26 04:57:39,82.58,82,75,-16.48,-151.75,82.58,11.36
31,2640351,Peterhead,GB,2020-01-26 04:57:39,43.16,90,87,57.51,-1.8,44.01,8.05
32,668314,Sacele,RO,2020-01-26 04:57:39,29.53,99,85,45.62,25.69,33.01,1.61
33,5954718,Flin Flon,CA,2020-01-26 04:57:39,17.83,100,96,54.77,-101.86,17.83,4.83
34,125897,Langarud,IR,2020-01-26 04:57:39,34.54,0,69,37.2,50.15,35.6,4.7
35,241131,Victoria,SC,2020-01-26 04:57:39,86.0,20,74,-4.62,55.45,86.0,2.24
36,3833367,Ushuaia,AR,2020-01-26 04:57:39,35.38,72,96,-54.8,-68.3,35.38,5.95
37,3839307,Rawson,AR,2020-01-26 04:57:39,67.93,0,52,-43.3,-65.1,67.93,29.84
38,2121025,Srednekolymsk,RU,2020-01-26 04:57:39,-23.35,100,97,67.45,153.68,-23.35,2.1
39,2514651,Los Llanos de Aridane,ES,2020-01-26 04:57:39,58.53,17,59,28.66,-17.92,60.8,8.05
40,3466980,Caravelas,BR,2020-01-26 04:57:39,79.93,100,87,-17.71,-39.25,79.93,19.98
41,3894426,Coyhaique,CL,2020-01-26 04:57:39,57.2,4,50,-45.58,-72.07,57.2,3.36
42,3652764,Puerto Ayora,EC,2020-01-26 04:57:39,75.99,33,28,-0.74,-90.35,75.99,1.01
43,4030556,Rikitea,PF,2020-01-26 04:57:39,78.73,24,78,-23.12,-134.97,78.73,11.1
44,3833367,Ushuaia,AR,2020-01-26 04:57:39,35.38,72,96,-54.8,-68.3,35.38,5.95
45,1895695,Kushima,JP,2020-01-26 04:57:39,52.97,75,93,31.46,131.23,53.6,17.22
46,5848280,Kapaa,US,2020-01-26 04:57:39,74.26,75,69,22.08,-159.32,77.0,3.36
47,2226275,Mokolo,CM,2020-01-26 04:57:39,55.18,0,22,10.74,13.8,55.18,5.5
48,3833367,Ushuaia,AR,2020-01-26 04:57:39,35.38,72,96,-54.8,-68.3,35.38,5.95
49,2155415,New Norfolk,AU,2020-01-26 04:57:39,65.57,75,30,-42.78,147.06,69.8,21.92
50,2156643,Mount Gambier,AU,2020-01-26 04:57:39,71.6,40,49,-37.83,140.77,71.6,14.99
51,4020109,Atuona,PF,2020-01-26 04:57:39,81.0,37,76,-9.8,-139.03,81.0,14.47
52,2129513,Shimokizukuri,JP,2020-01-26 04:57:39,32.83,75,63,40.81,140.39,35.6,11.41
53,5282297,Bethel,US,2020-01-26 04:57:39,39.69,90,100,41.37,-73.41,44.01,4.7
54,2110227,Butaritari,KI,2020-01-26 04:57:39,85.71,99,72,3.07,172.79,85.71,8.84
55,1295765,Sittwe,MM,2020-01-26 04:57:39,70.74,2,45,20.15,92.9,70.74,8.23
56,2396518,Port-Gentil,GA,2020-01-26 04:57:39,83.35,1,76,-0.72,8.78,83.35,8.77
57,1629965,Tanete,ID,2020-01-26 04:57:39,87.22,27,77,-3.94,119.78,87.22,2.33
58,6089179,Normandin,CA,2020-01-26 04:57:39,17.6,90,72,48.83,-72.53,17.6,2.24
59,3874787,Punta Arenas,CL,2020-01-26 04:57:39,48.09,20,70,-53.15,-70.92,48.2,12.75
60,2112309,Katsuura,JP,2020-01-26 04:57:39,42.4,75,75,35.13,140.3,43.0,3.36
61,2274895,Monrovia,LR,2020-01-26 04:57:39,75.2,20,94,6.3,-10.8,75.2,8.93
62,6167817,Torbay,CA,2020-01-26 04:57:39,18.3,5,85,47.67,-52.73,19.99,13.87
63,4030556,Rikitea,PF,2020-01-26 04:57:39,78.73,24,78,-23.12,-134.97,78.73,11.1
64,3665098,Barcelos,BR,2020-01-26 04:57:39,74.05,61,98,-0.97,-62.92,74.05,1.83
65,4032243,Vaini,TO,2020-01-26 04:57:39,77.0,90,100,-21.2,-175.2,77.0,10.29
66,8079926,Labuhan,ID,2020-01-26 04:57:39,86.83,15,68,-6.88,112.21,86.83,3.31
67,2173125,Burnie,AU,2020-01-26 04:57:39,67.46,88,49,-41.07,145.92,69.01,11.99
68,3418910,Upernavik,GL,2020-01-26 04:57:39,-16.62,93,95,72.79,-56.15,-16.62,7.29
69,3346015,Sumbe,AO,2020-01-26 04:57:39,75.94,100,89,-11.21,13.84,75.94,1.7
70,3445459,Varzea da Palma,BR,2020-01-26 04:57:39,67.48,100,99,-17.6,-44.73,67.48,3.89
71,3466980,Caravelas,BR,2020-01-26 04:57:39,79.93,100,87,-17.71,-39.25,79.93,19.98
72,1529376,Korla,CN,2020-01-26 04:57:39,21.22,16,47,41.76,86.15,21.22,3.69
73,1649150,Bengkulu,ID,2020-01-26 04:57:39,86.88,65,62,-3.8,102.27,86.88,6.4
74,3369157,Cape Town,ZA,2020-01-26 04:57:39,58.62,40,87,-33.93,18.42,61.0,5.82
75,6185377,Yellowknife,CA,2020-01-26 04:57:39,10.4,90,85,62.46,-114.35,10.4,5.82
76,3445026,Vila Velha,BR,2020-01-26 04:57:39,71.29,75,100,-20.33,-40.29,71.6,3.36
