,Unnamed: 0,City ID,City,Country,Update Date,Temperature,Cloudiness %,Humidity,Latitude,Longitude,Max Temp,Wind Speed
1,1,3652764,Puerto Ayora,EC,1580004409,77.0,54,37,-0.74,-90.35,77.0,3.0
13,13,2075265,Busselton,AU,1580004411,79.0,97,55,-33.65,115.33,79.0,4.0
47,47,5855927,Hilo,US,1580004227,75.18,90,57,19.73,-155.09,80.6,4.7
73,73,2075265,Busselton,AU,1580004411,79.0,97,55,-33.65,115.33,79.0,4.0
83,83,5855927,Hilo,US,1580004227,75.18,90,57,19.73,-155.09,80.6,4.7
99,99,2075265,Busselton,AU,1580004411,79.0,97,55,-33.65,115.33,79.0,4.0
106,106,5855927,Hilo,US,1580004227,75.18,90,57,19.73,-155.09,80.6,4.7
121,121,2075265,Busselton,AU,1580004411,79.0,97,55,-33.65,115.33,79.0,4.0
134,134,2075265,Busselton,AU,1580004411,79.0,97,55,-33.65,115.33,79.0,4.0
158,158,2075265,Busselton,AU,1580004411,79.0,97,55,-33.65,115.33,79.0,4.0
176,176,3452712,Porto Murtinho,BR,1580004356,74.17,0,48,-21.7,-57.88,74.17,1.97
228,228,2075265,Busselton,AU,1580004411,79.0,97,55,-33.65,115.33,79.0,4.0
229,229,1279061,Alangayam,IN,1580004441,71.67,38,58,12.6,78.75,71.67,0.96
242,242,2071860,Esperance,AU,1580004442,75.2,95,53,-33.87,121.9,75.2,6.93
246,246,5855927,Hilo,US,1580004227,75.18,90,57,19.73,-155.09,80.6,4.7
254,254,2071860,Esperance,AU,1580004442,75.2,95,53,-33.87,121.9,75.2,6.93
310,310,2075265,Busselton,AU,1580004411,79.0,97,55,-33.65,115.33,79.0,4.0
321,321,5855927,Hilo,US,1580004227,75.18,90,57,19.73,-155.09,80.6,4.7
327,327,5855927,Hilo,US,1580004227,75.18,90,57,19.73,-155.09,80.6,4.7
362,362,5850554,Makakilo City,US,1580004458,78.35,40,51,21.35,-158.09,82.4,9.17
376,376,5855927,Hilo,US,1580004227,75.18,90,57,19.73,-155.09,80.6,4.7
379,379,3652764,Puerto Ayora,EC,1580004409,77.0,54,37,-0.74,-90.35,77.0,3.0
387,387,5855927,Hilo,US,1580004227,75.18,90,57,19.73,-155.09,80.6,4.7
399,399,2075265,Busselton,AU,1580004411,79.0,97,55,-33.65,115.33,79.0,4.0
415,415,5855927,Hilo,US,1580004227,75.18,90,57,19.73,-155.09,80.6,4.7
437,437,2454955,Kolokani,ML,1580004469,71.1,35,10,13.57,-8.03,71.1,8.66
483,483,2075265,Busselton,AU,1580004411,79.0,97,55,-33.65,115.33,79.0,4.0
487,487,3652764,Puerto Ayora,EC,1580004409,77.0,54,37,-0.74,-90.35,77.0,3.0
493,493,2075265,Busselton,AU,1580004411,79.0,97,55,-33.65,115.33,79.0,4.0
510,510,2075265,Busselton,AU,1580004411,79.0,97,55,-33.65,115.33,79.0,4.0
572,572,2075265,Busselton,AU,1580004411,79.0,97,55,-33.65,115.33,79.0,4.0
592,592,5855927,Hilo,US,1580004227,75.18,90,57,19.73,-155.09,80.6,4.7
594,594,2075265,Busselton,AU,1580004411,79.0,97,55,-33.65,115.33,79.0,4.0
595,595,2381334,Atar,MR,1580004490,70.45,100,24,20.52,-13.05,70.45,9.01
606,606,2075265,Busselton,AU,1580004411,79.0,97,55,-33.65,115.33,79.0,4.0
614,614,2075265,Busselton,AU,1580004411,79.0,97,55,-33.65,115.33,79.0,4.0
709,709,2071860,Esperance,AU,1580004442,75.2,95,53,-33.87,121.9,75.2,6.93
731,731,2075265,Busselton,AU,1580004411,79.0,97,55,-33.65,115.33,79.0,4.0
773,773,2075265,Busselton,AU,1580004411,79.0,97,55,-33.65,115.33,79.0,4.0
777,777,5855927,Hilo,US,1580004227,75.18,90,57,19.73,-155.09,80.6,4.7
806,806,2075265,Busselton,AU,1580004411,79.0,97,55,-33.65,115.33,79.0,4.0
828,828,3652764,Puerto Ayora,EC,1580004409,77.0,54,37,-0.74,-90.35,77.0,3.0
843,843,3652764,Puerto Ayora,EC,1580004409,77.0,54,37,-0.74,-90.35,77.0,3.0
845,845,3835994,Santa Rosa,AR,1580004525,71.01,0,27,-36.62,-64.28,71.01,6.08
864,864,2075265,Busselton,AU,1580004411,79.0,97,55,-33.65,115.33,79.0,4.0
869,869,3652764,Puerto Ayora,EC,1580004409,77.0,54,37,-0.74,-90.35,77.0,3.0
875,875,5855927,Hilo,US,1580004227,75.18,90,57,19.73,-155.09,80.6,4.7
894,894,5855927,Hilo,US,1580004227,75.18,90,57,19.73,-155.09,80.6,4.7
903,903,2075265,Busselton,AU,1580004411,79.0,97,55,-33.65,115.33,79.0,4.0
906,906,2075265,Busselton,AU,1580004411,79.0,97,55,-33.65,115.33,79.0,4.0
912,912,5855927,Hilo,US,1580004227,75.18,90,57,19.73,-155.09,80.6,4.7
926,926,187585,Marsabit,KE,1580004536,76.35,100,59,2.33,37.99,76.35,7.99
928,928,218680,Boende,CD,1580004536,70.16,41,41,-0.22,20.87,70.16,2.75
940,940,2075265,Busselton,AU,1580004411,79.0,97,55,-33.65,115.33,79.0,4.0
954,954,2075265,Busselton,AU,1580004411,79.0,97,55,-33.65,115.33,79.0,4.0
970,970,5855927,Hilo,US,1580004227,75.18,90,57,19.73,-155.09,80.6,4.7
1012,1012,2075265,Busselton,AU,1580004411,79.0,97,55,-33.65,115.33,79.0,4.0
1014,1014,5855927,Hilo,US,1580004227,75.18,90,57,19.73,-155.09,80.6,4.7
1061,1061,5855927,Hilo,US,1580004227,75.18,90,57,19.73,-155.09,80.6,4.7
1064,1064,2075265,Busselton,AU,1580004411,79.0,97,55,-33.65,115.33,79.0,4.0
1071,1071,2075265,Busselton,AU,1580004411,79.0,97,55,-33.65,115.33,79.0,4.0
1133,1133,2071860,Esperance,AU,1580004442,75.2,95,53,-33.87,121.9,75.2,6.93
1134,1134,1276067,Bhatkal,IN,1580004564,77.83,5,39,13.97,74.57,77.83,2.17
