City ID,City,Country,Update Date,Temperature,Cloudiness %,Humidity,Latitude,Longitude,Max Temp,Wind Speed
101628,Tabuk,SA,1579911260,41.0,40,60,28.38,36.58,41.0,9.17
2022572,Khatanga,RU,1579911260,-23.94,73,89,71.97,102.5,-23.94,8.55
5655240,Great Falls,US,1579911181,45.73,75,52,47.5,-111.3,48.2,23.04
5866583,Kodiak,US,1579911232,19.4,90,57,57.79,-152.41,19.4,16.11
6165406,Thompson,CA,1579911262,15.8,20,85,55.74,-97.86,15.8,6.93
2122090,Pevek,RU,1579911262,-26.23,13,95,69.7,170.31,-26.23,2.39
5880054,Barrow,US,1579911207,-20.2,1,75,71.29,-156.79,-20.2,10.29
1624041,Ternate,ID,1579911263,82.44,45,66,0.8,127.4,82.44,2.28
6185377,Yellowknife,CA,1579911263,5.0,75,84,62.46,-114.35,5.0,9.17
2729907,Longyearbyen,SJ,1579911263,3.2,20,45,78.22,15.64,3.2,32.21
448149,Sinjar,IQ,1579911264,40.78,100,92,36.32,41.88,40.78,11.41
2038067,Chifeng,CN,1579911264,12.22,0,83,42.27,118.96,12.22,3.74
1490256,Talnakh,RU,1579911265,8.6,40,78,69.49,88.4,8.6,20.13
1337605,Mahibadhoo,MV,1579911265,82.22,86,79,3.78,72.97,82.22,18.88
2110227,Butaritari,KI,1579911265,84.61,100,68,3.07,172.79,84.61,3.83
3665910,Villarrica,CO,1579911265,59.02,100,96,3.94,-74.6,59.02,2.48
1293625,Dawei,MM,1579911266,75.97,100,73,14.08,98.2,75.97,5.59
5563839,Fortuna,US,1579911266,58.41,90,87,40.6,-124.16,62.01,5.82
2965649,Castleblayney,IE,1579911266,42.91,90,100,54.12,-6.73,43.0,9.17
780687,Berlevag,NO,1579911266,26.49,96,87,70.86,29.09,26.49,4.14
1517060,Zaysan,KZ,1579910996,16.75,83,59,47.47,84.87,16.75,2.39
371745,Kutum,SD,1579911267,41.16,0,31,14.2,24.67,41.16,5.68
481548,Troitsko-Pechorsk,RU,1579911267,-4.52,80,98,62.71,56.2,-4.52,3.04
546105,Nikolskoye,RU,1579911267,34.95,40,80,59.7,30.79,35.6,8.95
2017155,Saskylakh,RU,1579911267,-26.16,100,91,71.92,114.08,-26.16,23.82
2110227,Butaritari,KI,1579911265,84.61,100,68,3.07,172.79,84.61,3.83
