City ID,City,Country,Update Date,Temperature,Cloudiness %,Humidity,Latitude,Longitude,Max Temp,Wind Speed
4020109,Atuona,PF,1579911260,81.27,10,72,-9.8,-139.03,81.27,9.73
4020109,Atuona,PF,1579911260,81.27,10,72,-9.8,-139.03,81.27,9.73
2075265,Busselton,AU,1579911261,66.99,29,76,-33.65,115.33,66.99,4.0
2075265,Busselton,AU,1579911261,66.99,29,76,-33.65,115.33,66.99,4.0
2155415,New Norfolk,AU,1579911261,67.96,75,40,-42.78,147.06,72.0,20.8
2077963,Albany,AU,1579910784,64.4,90,77,-35.02,117.89,64.4,6.93
4030556,Rikitea,PF,1579911261,78.67,0,76,-23.12,-134.97,78.67,14.29
2152659,Port Macquarie,AU,1579911262,84.69,40,78,-31.43,152.92,88.0,6.96
3874787,Punta Arenas,CL,1579910774,49.15,40,76,-53.15,-70.92,50.0,12.75
3833367,Ushuaia,AR,1579910761,51.8,75,76,-54.8,-68.3,51.8,2.42
964420,Port Elizabeth,ZA,1579911241,66.2,26,88,-33.92,25.57,66.2,9.17
3370903,Jamestown,SH,1579910784,74.05,99,72,-15.94,-5.72,74.05,7.23
3652764,Puerto Ayora,EC,1579910763,80.67,20,62,-0.74,-90.35,84.2,14.99
3366880,Hermanus,ZA,1579911222,65.34,0,95,-34.42,19.23,66.99,10.02
2314302,Kinshasa,CD,1579911183,78.8,100,83,-4.32,15.32,78.8,3.36
3833367,Ushuaia,AR,1579910761,51.8,75,76,-54.8,-68.3,51.8,2.42
2163355,Hobart,AU,1579911152,68.04,75,40,-42.88,147.33,72.0,20.8
2075265,Busselton,AU,1579911261,66.99,29,76,-33.65,115.33,66.99,4.0
1015776,Bredasdorp,ZA,1579911220,66.6,23,94,-34.53,20.04,68.0,1.99
2071860,Esperance,AU,1579910965,66.2,40,82,-33.87,121.9,66.2,9.17
6690296,Saint-Joseph,RE,1579911265,76.17,100,94,-21.37,55.62,78.8,25.28
3430863,Mar del Plata,AR,1579911265,73.98,20,78,-38.0,-57.56,77.0,4.7
2075265,Busselton,AU,1579911261,66.99,29,76,-33.65,115.33,66.99,4.0
1633419,Padang,ID,1579911262,68.45,1,92,-0.95,100.35,68.45,4.21
3366880,Hermanus,ZA,1579911222,65.34,0,95,-34.42,19.23,66.99,10.02
4030556,Rikitea,PF,1579911261,78.67,0,76,-23.12,-134.97,78.67,14.29
2077963,Albany,AU,1579910784,64.4,90,77,-35.02,117.89,64.4,6.93
3833367,Ushuaia,AR,1579910761,51.8,75,76,-54.8,-68.3,51.8,2.42
3697441,El Alto,PE,1579911268,62.6,98,100,-4.27,-81.21,62.6,10.29
3471451,Arraial do Cabo,BR,1579911268,73.4,75,94,-22.97,-42.03,73.4,13.24
4034551,Faanui,PF,1579911268,82.33,3,78,-16.48,-151.75,82.33,13.11
3370903,Jamestown,SH,1579910784,74.05,99,72,-15.94,-5.72,74.05,7.23
1637001,Luwuk,ID,1579911203,80.58,43,72,-0.95,122.79,80.58,2.64
4030556,Rikitea,PF,1579911261,78.67,0,76,-23.12,-134.97,78.67,14.29
4030556,Rikitea,PF,1579911261,78.67,0,76,-23.12,-134.97,78.67,14.29
6690296,Saint-Joseph,RE,1579911265,76.17,100,94,-21.37,55.62,78.8,25.28
6255012,Flinders,AU,1579911244,77.76,90,94,-34.58,150.86,81.0,1.12
3855075,General Pico,AR,1579911270,86.23,0,15,-35.66,-63.76,86.23,9.24
2194098,Ahipara,NZ,1579911206,68.5,0,74,-35.17,173.17,68.5,12.97
1282256,Hithadhoo,MV,1579911270,83.26,69,77,-0.6,73.08,83.26,11.88
2077963,Albany,AU,1579910784,64.4,90,77,-35.02,117.89,64.4,6.93
3874787,Punta Arenas,CL,1579910774,49.15,40,76,-53.15,-70.92,50.0,12.75
3934233,Nunoa,PE,1579911271,45.18,100,81,-14.48,-70.64,45.18,6.87
3369157,Cape Town,ZA,1579911063,63.7,20,88,-33.93,18.42,66.99,2.24
3452599,Posse,BR,1579911272,68.76,100,98,-14.09,-46.37,68.76,5.61
3443061,Chui,UY,1579911272,71.94,0,76,-33.7,-53.46,71.94,10.69
933290,Mookane,BW,1579911272,71.06,61,68,-23.69,26.66,71.06,5.99
2077963,Albany,AU,1579910784,64.4,90,77,-35.02,117.89,64.4,6.93
3833367,Ushuaia,AR,1579910761,51.8,75,76,-54.8,-68.3,51.8,2.42
4033557,Tautira,PF,1579911273,87.42,40,66,-17.73,-149.15,87.8,3.36
3445026,Vila Velha,BR,1579910991,77.54,75,88,-20.33,-40.29,78.01,16.11
2077963,Albany,AU,1579910784,64.4,90,77,-35.02,117.89,64.4,6.93
4020109,Atuona,PF,1579911260,81.27,10,72,-9.8,-139.03,81.27,9.73
4030556,Rikitea,PF,1579911261,78.67,0,76,-23.12,-134.97,78.67,14.29
3897334,Calbuco,CL,1579911139,64.4,90,63,-41.77,-73.13,64.4,3.36
3463124,Formosa do Rio Preto,BR,1579911275,69.19,98,99,-11.05,-45.19,69.19,3.76
2074865,Carnarvon,AU,1579911225,78.8,0,69,-24.87,113.63,78.8,11.41
2075265,Busselton,AU,1579911261,66.99,29,76,-33.65,115.33,66.99,4.0
4020109,Atuona,PF,1579911260,81.27,10,72,-9.8,-139.03,81.27,9.73
3430863,Mar del Plata,AR,1579911265,73.98,20,78,-38.0,-57.56,77.0,4.7
6355222,Yulara,AU,1579911276,82.4,5,17,-25.24,130.99,82.4,18.34
3366880,Hermanus,ZA,1579911222,65.34,0,95,-34.42,19.23,66.99,10.02
3369157,Cape Town,ZA,1579911063,63.7,20,88,-33.93,18.42,66.99,2.24
4030556,Rikitea,PF,1579911261,78.67,0,76,-23.12,-134.97,78.67,14.29
2141305,Fayaoue,NC,1579911277,78.96,0,77,-20.65,166.53,78.96,12.64
2152667,Portland,AU,1579911277,62.47,52,85,-38.33,141.6,62.47,19.44
4030556,Rikitea,PF,1579911261,78.67,0,76,-23.12,-134.97,78.67,14.29
935215,Saint-Philippe,RE,1579911278,76.15,86,94,-21.36,55.77,78.8,25.28
3405051,Borba,BR,1579911256,79.72,98,81,-4.39,-59.59,79.72,1.34
3369157,Cape Town,ZA,1579911063,63.7,20,88,-33.93,18.42,66.99,2.24
2206939,Bluff,NZ,1579911223,64.99,79,74,-46.6,168.33,64.99,8.99
3366880,Hermanus,ZA,1579911222,65.34,0,95,-34.42,19.23,66.99,10.02
3874787,Punta Arenas,CL,1579910774,49.15,40,76,-53.15,-70.92,50.0,12.75
4032243,Vaini,TO,1579910785,84.2,20,70,-21.2,-175.2,84.2,13.87
3896218,Castro,CL,1579911279,60.8,90,72,-42.47,-73.77,60.8,10.29
4030556,Rikitea,PF,1579911261,78.67,0,76,-23.12,-134.97,78.67,14.29
2208248,Kaitangata,NZ,1579911279,57.51,86,92,-46.28,169.85,57.51,13.42
2074865,Carnarvon,AU,1579911225,78.8,0,69,-24.87,113.63,78.8,11.41
4030556,Rikitea,PF,1579911261,78.67,0,76,-23.12,-134.97,78.67,14.29
4020109,Atuona,PF,1579911260,81.27,10,72,-9.8,-139.03,81.27,9.73
3893629,Coquimbo,CL,1579911280,68.0,0,77,-29.95,-71.34,68.0,12.75
2163355,Hobart,AU,1579911152,68.04,75,40,-42.88,147.33,72.0,20.8
1282256,Hithadhoo,MV,1579911270,83.26,69,77,-0.6,73.08,83.26,11.88
4030556,Rikitea,PF,1579911261,78.67,0,76,-23.12,-134.97,78.67,14.29
986717,Kruisfontein,ZA,1579911223,65.95,0,87,-34.0,24.73,65.95,5.93
2088163,Popondetta,PG,1579911281,83.75,100,70,-8.75,148.25,83.75,3.49
4030556,Rikitea,PF,1579911261,78.67,0,76,-23.12,-134.97,78.67,14.29
3389822,Salinopolis,BR,1579911281,83.03,95,81,-0.61,-47.36,83.03,14.9
3835994,Santa Rosa,AR,1579911264,82.33,0,13,-36.62,-64.28,82.33,10.87
2065594,Mount Isa,AU,1579911282,80.6,90,88,-20.73,139.5,80.6,10.29
3370903,Jamestown,SH,1579910784,74.05,99,72,-15.94,-5.72,74.05,7.23
4036284,Alofi,NU,1579911282,80.6,100,94,-19.06,-169.92,80.6,5.82
3355672,Luderitz,NA,1579911282,68.0,0,88,-26.65,15.16,68.0,4.7
2077963,Albany,AU,1579910784,64.4,90,77,-35.02,117.89,64.4,6.93
4035715,Avarua,CK,1579911227,84.2,95,83,-21.21,-159.78,84.2,9.17
2065594,Mount Isa,AU,1579911282,80.6,90,88,-20.73,139.5,80.6,10.29
215668,Kabalo,CD,1579911283,69.67,100,92,-6.05,26.92,69.67,2.37
2077963,Albany,AU,1579910784,64.4,90,77,-35.02,117.89,64.4,6.93
4020109,Atuona,PF,1579911260,81.27,10,72,-9.8,-139.03,81.27,9.73
2075265,Busselton,AU,1579911261,66.99,29,76,-33.65,115.33,66.99,4.0
1090467,Boueni,YT,1579911285,78.8,100,94,-12.9,45.08,78.8,6.93
3366880,Hermanus,ZA,1579911222,65.34,0,95,-34.42,19.23,66.99,10.02
4035715,Avarua,CK,1579911227,84.2,95,83,-21.21,-159.78,84.2,9.17
2074865,Carnarvon,AU,1579911225,78.8,0,69,-24.87,113.63,78.8,11.41
4030556,Rikitea,PF,1579911261,78.67,0,76,-23.12,-134.97,78.67,14.29
3948613,Acari,PE,1579911286,68.31,62,83,-15.43,-74.62,68.31,3.96
3874787,Punta Arenas,CL,1579910774,49.15,40,76,-53.15,-70.92,50.0,12.75
3369157,Cape Town,ZA,1579911063,63.7,20,88,-33.93,18.42,66.99,2.24
3833367,Ushuaia,AR,1579910761,51.8,75,76,-54.8,-68.3,51.8,2.42
2075265,Busselton,AU,1579911261,66.99,29,76,-33.65,115.33,66.99,4.0
2236967,Soyo,AO,1579911287,79.39,83,83,-6.13,12.37,79.39,2.33
981827,Louis Trichardt,ZA,1579911287,61.84,0,90,-23.04,29.9,61.84,3.15
1282256,Hithadhoo,MV,1579911270,83.26,69,77,-0.6,73.08,83.26,11.88
1015776,Bredasdorp,ZA,1579911220,66.6,23,94,-34.53,20.04,68.0,1.99
3471451,Arraial do Cabo,BR,1579911268,73.4,75,94,-22.97,-42.03,73.4,13.24
4032243,Vaini,TO,1579910785,84.2,20,70,-21.2,-175.2,84.2,13.87
4030556,Rikitea,PF,1579911261,78.67,0,76,-23.12,-134.97,78.67,14.29
6243926,Seddon,NZ,1579911289,78.03,97,70,-41.67,174.07,84.0,1.01
3938531,Iberia,PE,1579911289,75.11,100,98,-11.35,-69.58,75.11,2.39
3874787,Punta Arenas,CL,1579910774,49.15,40,76,-53.15,-70.92,50.0,12.75
935215,Saint-Philippe,RE,1579911278,76.15,86,94,-21.36,55.77,78.8,25.28
2063042,Port Hedland,AU,1579911240,87.8,0,70,-20.32,118.57,87.8,5.82
3471451,Arraial do Cabo,BR,1579911268,73.4,75,94,-22.97,-42.03,73.4,13.24
2155415,New Norfolk,AU,1579911261,67.96,75,40,-42.78,147.06,72.0,20.8
2155415,New Norfolk,AU,1579911261,67.96,75,40,-42.78,147.06,72.0,20.8
1015776,Bredasdorp,ZA,1579911220,66.6,23,94,-34.53,20.04,68.0,1.99
2140558,Koumac,NC,1579911290,83.17,15,57,-20.57,164.28,83.17,4.74
3391889,Pitimbu,BR,1579911291,80.6,75,83,-7.47,-34.81,80.6,5.82
3896218,Castro,CL,1579911279,60.8,90,72,-42.47,-73.77,60.8,10.29
1650434,Bambanglipuro,ID,1579911291,79.45,97,79,-7.95,110.28,79.45,3.94
2075265,Busselton,AU,1579911261,66.99,29,76,-33.65,115.33,66.99,4.0
2077963,Albany,AU,1579910784,64.4,90,77,-35.02,117.89,64.4,6.93
964432,Port Alfred,ZA,1579911257,64.0,39,93,-33.59,26.89,64.0,1.01
3355672,Luderitz,NA,1579911282,68.0,0,88,-26.65,15.16,68.0,4.7
2155415,New Norfolk,AU,1579911261,67.96,75,40,-42.78,147.06,72.0,20.8
2188874,Russell,NZ,1579910995,79.0,1,73,-35.26,174.12,82.0,5.01
2098329,Daru,PG,1579911292,90.1,52,56,-9.08,143.21,90.1,2.44
2063036,Port Lincoln,AU,1579911293,70.59,0,58,-34.73,135.87,70.59,6.35
4030556,Rikitea,PF,1579911261,78.67,0,76,-23.12,-134.97,78.67,14.29
2074865,Carnarvon,AU,1579911225,78.8,0,69,-24.87,113.63,78.8,11.41
3874787,Punta Arenas,CL,1579910774,49.15,40,76,-53.15,-70.92,50.0,12.75
3874787,Punta Arenas,CL,1579910774,49.15,40,76,-53.15,-70.92,50.0,12.75
2075265,Busselton,AU,1579911261,66.99,29,76,-33.65,115.33,66.99,4.0
3872395,San Antonio,CL,1579911294,60.8,75,93,-33.59,-71.62,60.8,6.93
3366880,Hermanus,ZA,1579911222,65.34,0,95,-34.42,19.23,66.99,10.02
4030556,Rikitea,PF,1579911261,78.67,0,76,-23.12,-134.97,78.67,14.29
3366880,Hermanus,ZA,1579911222,65.34,0,95,-34.42,19.23,66.99,10.02
3671437,Puerto Leguizamo,CO,1579911295,78.06,100,87,-0.19,-74.78,78.06,3.02
2163355,Hobart,AU,1579911152,68.04,75,40,-42.88,147.33,72.0,20.8
3466980,Caravelas,BR,1579911295,79.61,100,81,-17.71,-39.25,79.61,28.01
3397851,Itupiranga,BR,1579911296,80.6,100,94,-5.13,-49.33,80.6,3.42
3393106,Paragominas,BR,1579911296,74.97,100,97,-2.97,-47.48,74.97,3.47
2075265,Busselton,AU,1579911261,66.99,29,76,-33.65,115.33,66.99,4.0
3874787,Punta Arenas,CL,1579910774,49.15,40,76,-53.15,-70.92,50.0,12.75
3874787,Punta Arenas,CL,1579910774,49.15,40,76,-53.15,-70.92,50.0,12.75
3896218,Castro,CL,1579911279,60.8,90,72,-42.47,-73.77,60.8,10.29
2180815,Tuatapere,NZ,1579910785,64.99,99,72,-46.13,167.68,64.99,8.99
3366880,Hermanus,ZA,1579911222,65.34,0,95,-34.42,19.23,66.99,10.02
3366880,Hermanus,ZA,1579911222,65.34,0,95,-34.42,19.23,66.99,10.02
